,Link_Type,NEWSUD_format,step_number
0,2.2.1,WWSSEENNwndSSUUNNDD,16
1,4.2.1,EESSWWWNNEdSUUSSEDDNNUUNNDDSW,28
2,5.2.1,EEESSDWWNNNUUSSDSWWNNEssuNDDDEEUUSUWW ,34
3,6.2.1,DSSUUWWUUENEDDWWNNEESDsWSSUUNNNDDNEESSW,38
4,6.2.2,DWWNUUEEDDEEUUUWWSDDenuSEEDNNWWSSSWWNNNUEES,40
5,6.2.3,SEENNNWWSSedWSDSEENNWWWUUUENEDDDDSSUUSUUNNDD,42
6,7.2.1,DDDWWUUNUEEDDEEUUWSWwnddSSSUUNNDNNEESSSWWWWNDNEE,44
7,7.2.2,DSSEUUUNNDDDNWNUUSSDsSSEENNNNWWWSSUEEEEDDWWUW,44
8,7.2.3,WWWWNNEEEESSwndDDWWUUUUSESDDNNNWWSSDEENNNUUUESSDD,46
9,7.2.4,NNWDDEEESESSWWNNUUUWWDDENNDDSSUSSUUNdWDDEEEUUWW,46
10,7.2.5,NNUWWDSDEEDSSUUNwnndEEESSWWWDNNNUUSSUEEDDDDWWWNUUE,46
11,7.2.6,EESSSSWWNNNNeessuuNWDDDDSSUUUEEENNWWSWWWDDEEEEUUUW,44
12,7.2.7,EDDDWWUUSUUNEENDDDWSSWWUNUEEeenndWWSSSEENNN,38
13,7.2.8,UEEDDDWWUUwwsDEEENNNUWWSSSSDDNNUNEUESSUWWWD,40
14,8.2.1,WNNEESDSWWSSUUNNWUWSSEENNEEDDWndUUSSUUWWDDDEEDDNNU,48
15,8.2.2,SSDDNNWUUSSWWUNNEESSSEEENNWWSUUNNDDDessuuDDDNWWWUUUEEES,50
16,8.2.3,SDDENNUUSSEENNWNNWWSSSedEUUUSWWNNDEEENDDWWUUUSSDWWDDEE,52
17,8.2.4,SEUUWWWNNEUUEEDDDWDSwuuUWNNEDESSEENNUWWSSSSDDNNEDDWWUUU,52
18,8.2.5,ESSWWWDDNENNWUWSSEESSUUNNNNWWSSDEENEwwdUUUEEDSDDDNDWWUU,52
19,8.2.6,UUWWWSDDNEEEwnuSSUUNENNWDDWWSSESDDNNUUUNNEESSWUUEEDDDWW,52
20,8.2.7,DDDDDNNUUUUUSSwndddNDNEESSWWWUUEEDEEUUWWWNNDEESSSSDWWNN,50
21,8.2.8,DNWNNEESSSSDDNNNWUUUUSSDnddENEESSWWWWUUNEEEDDDDWWUU,48
22,8.2.9,UUUENNDDESDSWWnuDWWUUEEEENNWDDDSSUUSSWWNNNDEEENNUWWSSS,52
23,8.2.10,EENNWDWWUSUUUSEEDDWWWNNEEEESSSUWWNNNNDDSSSenUUEEDDDWWU,52
24,8.2.11,DDDWWUUWUUEEDDSEENNWWWWWDNDEEUUUSSSEENwnddSSWWNNNNEESS,50
25,8.2.12,SUEENEEUUWWDWDDDDNNUUSUWWDDEEEEUUWNWWDSSeennEUUSSSDDWNNN,52
26,8.2.13,EEDESSSSWWNNNNNWUUSSDDDESEEEUUWWWWWNNEeesddDSSUUUUNNDDD,50
27,8.2.14,EUUENNWWWWSSEUUENEDDDESSWUWWUWNNEDDDESnuuuSSSDDNNNNNUUSS,52
28,8.2.15,SSSWWNDNEEEUUWNNWDDDSSSUUNWNNNEESSeDWWUUUEEDD,44
29,8.2.16,UNEEEDDDWWUWNNEESSSWUUUNNDDDDWSSUUeenSSWWWNNEEE,44
30,9.2.1,WWDDDEEUUSSUUNNNNWWSSEUEEDDWsEDDWWNNWWSSEUENNUUUUSSDDDE,54
31,9.2.2,SWWUUUUEEDDWNWWSSEEEENDDENNWWSwssuNNDDEEUUESSWWNNUUWSSSDDN,54
32,9.2.3,EUUSSDDDNNNWDDEEUUNUUSSDDENNDWWSSWUUsssEENUNWWNNDEEESSWWWSS,56
33,9.2.4,EEEEUUWWUNNDDSSSDDNNUNNWWSSSeeenUSSUUNNDWWDDDWNWUUEEDDEEUS,54
34,9.2.5,USSEDDNNDDSSDDWNNUUSSSUUNNNUwsddddUUUUEEEDSDWWWWNNEESEEDDWWW,54
35,9.2.6,WSSEUENNWWWNNEESEUUWWDDDDDEEUUWNNEESSSWWenndUUUWSSSDDDNNNE,54
36,9.2.7,DDEEDSDWWWUUEEEEUUWWWNedSWSSEENNNNWDDWSSSDDNNEUUSSUUUUNNDD,56
37,9.2.8,WWNUUSUWWDDEEENDDSSUUEUUUWWDDDSEDENNwssuuNNEESUSWWNNNWWDSSSEE,56
38,9.2.9,NNNNDDSWWSSSDEEUUUendWWWWDDEEUSSEENNNUUUWWDDDDNNUUSEEESSW,54
39,9.2.10,SSSUUNNNDDeesssuDENNWWSDDNNUUUSWWDDEEESUUESSWWWWNNEESDSSUUENND,56
40,9.2.11,NWNDDSSSDDENNNUUSSEDDDWWUUESUUUNeedWWWUUEENDDDDWWWUUEENEESS,56
41,9.2.12,UNNNNDDSSSESSWWNDNEEENNWWSDSSUUUwnnndddUUUEEESSWWWUUEEDNDDDDNWW,56
42,9.2.13,UUSWWSSWUUEEDDEENNNUUSWWSDDDWWUUESSEENNDDDNNesuuuWNWDDSEEEUUW,56
43,9.2.14,WWDDWSSEENNEUUwwwwddNNEENUUSSDDDDSSUUUWNNDDNNUUSEESSSEDDNWWWWU,56
44,9.2.15,NUUESSSDDNNWsuEEUENNEESSDWWNNNWWSSWUUEEDDDEEUUUNWWDDDWDWSSUU,58
45,9.2.16,EENUUSWWWDDEessdNNNUWUSSSDEESUUNNDDDDWWUUEUUUNNDDSEESSWWSDDN,56
46,9.2.17,SSEENDDNNUUSWWeeeeUUWWDWWNNEESESSEENDNWWSSSDWWNUUUNNDDDSEEEU,56
47,9.2.18,WUUEEEEDDWWWeeennDEEUUWSWDWWUUUSSDDNWNNNEESSSSEENDNNNWWSWUUEEDD,58
48,9.2.19,SUUSSWWWWDDEEUNNNDEEwsssuDDNNUUNEESSWWUUSSWDDDEENNWWWUSSSEENN,56
49,9.2.20,SUUSSDDNWWNNNEESwwssdSUSEEENNNNUWWDDWSWUUEEDDDSSUUUNEEEDDWWWW,56
50,9.2.21,EDSSWWNNNWWSSSUEENNEwwsdddEEUUUUWNWDDDDDSSUUUNUWWDDEEENNWWDSSE,56
51,9.2.22,UUNNDDDDSSUUendSSSSWWNNEDEEUUWWWNNEENNUWWSSEESSSDWDDWNNUNEE,56
52,9.2.23,DDSSUUUSSDDNWNUUUEEEDDWDSSUUNNNWNDsssWWNNEEENDNWWSSEEESSUWW,56
53,9.2.24,UUUUSSDDNENNWWSSSDDDWWNUUEEEEESSWWNDNNsuuuESDDDSWWWNNNUUUSEE,56
